date,breau,month,year,station,lon,_id,time,type,lat
19,龍潭分局,2,109,石門所,121.245556,238,1090219,汽車竊盜,24.8502301
18,大溪分局,2,109,圳頂所,121.2775487,239,1090218,汽車竊盜,24.9026964
17,中壢分局,2,109,青埔所,121.2223211,240,1090217,汽車竊盜,25.0221978
17,桃園分局,2,109,同安所,121.3133745,241,1090217,汽車竊盜,25.0218844
16,楊梅分局,2,109,幼獅所,121.1767574,242,1090216,汽車竊盜,24.9228583
14,中壢分局,2,109,青埔所,121.2228798,243,1090214,汽車竊盜,24.9772711
14,龜山分局,2,109,大坑所,121.3385139,244,1090214,汽車竊盜,25.0609554
13,中壢分局,2,109,龍興所,121.2373521,245,1090213,汽車竊盜,24.9336049
13,中壢分局,2,109,仁愛所,121.2589254,246,1090213,汽車竊盜,24.9454956
11,中壢分局,2,109,中福所,121.2279624,247,1090211,汽車竊盜,24.9918166
11,蘆竹分局,2,109,大竹所,121.247841,248,1090211,汽車竊盜,25.021987
9,平鎮分局,2,109,平鎮所,121.2122626,249,1090209,汽車竊盜,24.901687
9,大園分局,2,109,竹圍所,121.2229342,250,1090209,汽車竊盜,25.0939774
9,平鎮分局,2,109,建安所,121.2300584,251,1090209,汽車竊盜,24.9107814
7,蘆竹分局,2,109,大竹所,121.2526565,252,1090207,汽車竊盜,25.0158528
3,八德分局,2,109,四維所,121.296813,253,1090203,汽車竊盜,24.9616599
28,大園分局,1,109,大園所,121.1908485,254,1090128,汽車竊盜,25.0262797
27,大園分局,1,109,埔心所,121.2219768,255,1090127,汽車竊盜,25.0549334
27,蘆竹分局,1,109,大竹所,121.2435592,256,1090127,汽車竊盜,25.0380338
25,龜山分局,1,109,龜山所,121.3668923,257,1090125,汽車竊盜,25.0003199
23,大園分局,1,109,埔心所,121.2278018,258,1090123,汽車竊盜,25.0056149
23,楊梅分局,1,109,幼獅所,121.1701502,259,1090123,汽車竊盜,24.9210798
22,平鎮分局,1,109,北勢所,121.2334092,260,1090122,汽車竊盜,24.9634095
17,龜山分局,1,109,大坑所,121.2957659,261,1090117,汽車竊盜,25.0477006
16,桃園分局,1,109,青溪所,121.3244541,262,1090116,汽車竊盜,25.0043284
16,桃園分局,1,109,埔子所,121.2902917,263,1090116,汽車竊盜,25.0210105
15,平鎮分局,1,109,建安所,121.2448242,264,1090115,汽車竊盜,24.9223141
15,龜山分局,1,109,大埔所,121.3861049,265,1090115,汽車竊盜,25.0470285
14,平鎮分局,1,109,北勢所,121.2448242,266,1090114,汽車竊盜,24.9223141
13,蘆竹分局,1,109,南崁所,121.289686,267,1090113,汽車竊盜,25.0709006
12,桃園分局,1,109,埔子所,121.2826229,268,1090112,汽車竊盜,25.0099613
6,蘆竹分局,1,109,南竹所,121.2777336,269,1090106,汽車竊盜,25.0258927
5,平鎮分局,1,109,建安所,121.2558091,270,1090105,汽車竊盜,24.9160635
5,中壢分局,1,109,大崙所,121.1800336,271,1090105,汽車竊盜,24.996197
